 освобождать  rid
 должен  ought
 навсегда  forever
 абсолютно  absolutely
 авария  accident
 август  August
 автобус  bus
 автомобиль  car
 автомобиль  vehicle
 автор  author
 агентство  agency
 адвокат  lawyer
 адрес  address
 актер  actor
 активный  active
 алкоголь  alcohol
 алфавит  alphabet
 английский язык  English
 античный  ancient
 апельсин  orange
 апрель  April
 аргумент  argument
 аренда  rent
 армия  army
 ассоциация  association
 атаковать  attack
 атом  atom
 аэропорт  airport
 бабушка  grandmother
 бабушка или дедушка  grandparent
 базовый  basic
 баланс  balance
 банда  band
 банк  bank
 бар  bar
 барабан  drum
 баскетбол  basketball
 бассейн  pool
 башня  tower
 бедный  poor
 бежать  run
 без  without
 безопасность  safety
 безопасность  security
 безопасный  safe
 белый  white
 беспокоиться  worry
 беспокойство  concern
 беспокойство  trouble
 бесполезный  useless
 беспорядок  mess
 библиотека  library
 билет  ticket
 битва  battle
 бить  beat
 благодарить  thank
 благодарный  grateful
 бледный  pale
 близко  nearly
 блокировать  block
 блюдо  dish
 боб  bean
 Бог  god
 богатство  wealth
 богатый  rich
 болезненный  painful
 болезнь  disease
 болезнь  illness
 болеть  hurt
 боль  pain
 больница  hospital
 больной  ill
 больной  sick
 больной  sore
 больше не  anymore
 большой  big
 большой  large
 большой палец руки  thumb
 бомба  bomb
 борода  beard
 ботинок  boot
 ботинок  shoe
 боящийся  afraid
 брак  marriage
 брат  brother
 брать  take
 брать в долг  borrow
 бросать  throw
 брюки  pants
 будущее  future
 булавка  pin
 бумага  paper
 буря  storm
 бутылка  bottle
 буханка  loaf
 бывший  former
 быстро  quickly
 быстрый  fast
 быстрый  quick
 быстрый  rapid
 быть  be
 быть вероятным  may
 в  in
 в  into
 в конце концов  finally
 в самом деле  indeed
 важность  importance
 важный  important
 ванна  bath
 вариант  option
 введение  introduction
 вверх  up
 вверху  above
 вдоль  along
 вдруг  suddenly
 ведро  bucket
 вежливый  polite
 везде  everywhere
 век  century
 великий  grand
 велосипед  bicycle
 вера  belief
 вера  faith
 вера  trust
 веревка  rope
 верить  believe
 вероятно  likely
 вероятно  probably
 верхний  top
 верхний  upper
 вес  weight
 веселый  cheerful
 веселье  fun
 весить  weigh
 весна  spring
 вести  lead
 вести себя  behave
 весь  entire
 весь  total
 весьма  much
 ветвь  branch
 ветер  wind
 вечер  evening
 вешать  hang
 вещество  matter
 вещество  substance
 вещь  thing
 взаимоотношение  relationship
 взбираться  climb
 взрослый  adult
 взрыв  burst
 взрыв  explosion
 взрывать  explode
 вид  view
 видеть  see
 вилка  fork
 вина  fault
 вино  wine
 виновный  guilty
 винт  screw
 включать в себя  include
 включая  including
 вкус  taste
 владелец  owner
 владение  possession
 владеть  possess
 власть  authority
 влияние  influence
 влиять  affect
 вместе  together
 вместо  instead
 вне  out
 вне  outside
 внезапный  sudden
 внешний  outer
 внешний вид  appearance
 вниз  down
 внимание  attention
 внутренний  inner
 внутри  inside
 внутри  within
 во время  during
 вовлекать  involve
 вода  water
 военно-морской флот  navy
 военный  military
 возвращать  return
 воздух  air
 возле  near
 возможно  possibly
 возможность  opportunity
 возможность  possibility
 возможный  possible
 возраст  age
 возрастать  increase
 война  war
 вокруг  around
 волна  wave
 волосы  hair
 воля  will
 воображать  imagine
 воображение  imagination
 вопрос  question
 вор  thief
 воровать  steal
 ворота  gate
 восемнадцать  eighteen
 восемь  eight
 восемьдесят  eighty
 воскресенье  Sunday
 воспитывать  educate
 восток  east
 восточный  eastern
 восхищаться  admire
 вперед  forward
 впереди  ahead
 впечатляющий  impressive
 вполне  quite
 враг  enemy
 врач  doctor
 вред  harm
 вредный  harmful
 временный  temporary
 время  time
 вряд ли  hardly
 все  all
 все  everything
 всегда  always
 всегда  ever
 вселенная  universe
 встречать  meet
 всякий  everybody
 вторник  Tuesday
 вход  entrance
 входить  enter
 вчера  yesterday
 выбирать  choose
 выбор  choice
 выборы  election
 вызывать  call
 выражает условное наклонение  would
 выражать  express
 выражение  expression
 высокий  tall
 высоко  high
 высота  height
 выстрел  shot
 выступать против  oppose
 гадать  guess
 газ  gas
 газета  newspaper
 гвоздь  nail
 где  where
 где угодно  anywhere
 где-то  somewhere
 главный  chief
 главный  main
 глагол  verb
 гладкий  smooth
 глаз  eye
 гласный звук  vowel
 глина  clay
 глобальный  global
 глотать  swallow
 глубина  depth
 глубокий  deep
 глупый  silly
 глупый  stupid
 гнев  anger
 гнездо  nest
 говорить  say
 говорить  speak
 говорить  talk
 говорить  tell
 год  year
 голова  head
 голодный  hungry
 голос  voice
 голосовать  vote
 гонка  race
 гора  mountain
 гордый  proud
 гореть  burn
 горло  throat
 город  city
 город  town
 горшок  pot
 горячий  hot
 гость  guest
 государство  government
 готовить  cook
 готовить  prepare
 готовый  ready
 готовый (сделать что-л.)  willing
 грабить  rob
 гражданин  citizen
 грамм  gram
 граница  border
 гребень  comb
 громкий  loud
 грубый  rough
 грубый  rude
 грудная клетка  chest
 грудь  breast
 грузовик  truck
 группа  group
 грустный  sad
 грязный  dirty
 грязь  dirt
 грязь  mud
 губа  lip
 да  yes
 давать взаймы  lend
 давить  crush
 давление  pressure
 даже  even
 далекий  far
 далеко  away
 дальнейший  further
 дата  date
 дать  give
 два  two
 двадцать  twenty
 дважды  twice
 двенадцать  twelve
 дверь  door
 двигатель  engine
 движение  movement
 двойной  double
 девочка  girl
 девяносто  ninety
 девятнадцать  nineteen
 девять  nine
 дедушка  grandfather
 действие  action
 действительно  really
 действовать  act
 декабрь  December
 делать  do
 делать  make
 делать усилия  struggle
 деликатный  delicate
 делить  divide
 делить  share
 дело  affair
 дело  business
 дело  deal
 день  day
 деньги  money
 деревня  village
 дерево  tree
 дерево  wood
 деревянный  wooden
 держать  hold
 держать  keep
 десять  ten
 деталь  detail
 дешевый  cheap
 деятельность  activity
 диапазон  range
 дизайн  design
 дикий  wild
 директор  director
 дискуссия  discussion
 дистанция  distance
 длина  length
 длинный  long
 для  for
 до  before
 до  until
 до свидания!  goodbye
 добро пожаловать  welcome
 добрый  kind
 довольно-таки  fairly
 довольный  glad
 дождь  rain
 доказательства  evidence
 доказательство  proof
 доказывать  prove
 доклад  report
 документ  document
 долг  debt
 долг  duty
 должен  must
 должен  should
 долина  valley
 доллар  dollar
 дом  home
 дом  house
 домашнее животное  pet
 дополнение  addition
