мясо Fleisch 
курица Hühnerfleisch 
цыплёнок Küken 
утка Ente 
гусь Gans 
дичь Wild 
индейка Pute 
свинина Schweinefleisch 
баранина Hammelfleisch 
говядина Rindfleisch 
кролик Kaninchen 
колбаса Wurst 
сосиска Würstchen 
бекон Schinkenspeck 
ветчина Schinken 
окорок Räucherschinken 
паштет Pastete 
печень Leber 
сало Speck 
фарш Hackfleisch 
язык Zunge 
яйцо Ei 
яйца Eier 
белок Eiweiß 
желток Eigelb 
рыба Fisch 
морепродукты Meeresfrüchte 
ракообразные Krebstiere 
икра Kaviar 
краб Krabbe 
креветка Garnele 
устрица Auster 
лангуст Languste 
осьминог Krake 
кальмар Kalmar 
осетрина Störfleisch 
цифра Ziffer 
число Zahl 
числительное Zahlwort 
минус Minus 
плюс Plus 
формула Formel 
вычисление Berechnung 
считать zählen 
подсчитывать berechnen 
сравнивать vergleichen 
сумма Summe 
результат Ergebnis 
остаток Rest 
несколько einige 
немного wenig … 
остальное Übrige 
полтора anderthalb 
дюжина Dutzend 
пополам entzwei 
поровну zu gleichen Teilen 
половина Hälfte 
раз Mal 
падать fallen 
переводить  übersetzen 
писать schreiben 
плавать schwimmen 
плакать weinen 
планировать planen 
платить zahlen 
поворачивать abbiegen 
повторять noch einmal sagen 
подписывать unterschreiben 
подсказать andeuten 
показывать zeigen 
помогать helfen 
понимать verstehen 
предвидеть voraussehen 
предлагать vorschlagen 
предпочитать vorziehen 
предупреждать warnen 
прекращать einstellen
приглашать einladen 
приезжать ankommen 
приказывать befehlen 
принадлежать gehören 
пробовать versuchen 
продавать verkaufen 
продолжать fortsetzen
произносить aussprechen
пропускать versäumen
просить bitten 
прощать verzeihen 
прятать verstecken 
путать  verwechseln 
работать arbeiten
разрешать erlauben
резервировать reservieren 
рекомендовать empfehlen 
ронять fallen lassen 
ругать schelten 
руководить leiten
рыть graben
