Fleisch мясо
Hühnerfleisch курица
Küken цыплёнок
Ente утка
Gans гусь
Wild дичь
Pute индейка
Schweinefleisch свинина
Hammelfleisch баранина
Rindfleisch говядина
Kaninchen кролик
Wurst колбаса
Würstchen сосиска
Schinkenspeck бекон
Schinken ветчина
Räucherschinken окорок
Pastete паштет
Leber печень
Speck сало
Hackfleisch фарш
Zunge язык
Ei яйцо
Eier яйца
Eiweiß белок
Eigelb желток
Fisch рыба
Meeresfrüchte морепродукты
Krebstiere ракообразные
Kaviar икра
Krabbe краб
Garnele креветка
Auster устрица
Languste лангуст
Krake осьминог
Kalmar кальмар
Störfleisch осетрина
Ziffer цифра
Zahl число
Zahlwort числительное
Minus минус
Plus плюс
Formel формула
Berechnung вычисление
zählen считать
berechnen подсчитывать
vergleichen сравнивать
Summe сумма
Ergebnis результат
Rest остаток
einige несколько
wenig немного
Übrige остальное
anderthalb полтора
Dutzend дюжина
entzwei пополам
zu поровну
Hälfte половина
Mal раз
fallen падать
schreiben писать
schwimmen плавать
weinen плакать
planen планировать
zahlen платить
abbiegen поворачивать
noch повторять
unterschreiben подписывать
andeuten подсказать
zeigen показывать
helfen помогать
verstehen понимать
voraussehen предвидеть
vorschlagen предлагать
vorziehen предпочитать
warnen предупреждать
einstellen прекращать
einladen приглашать
ankommen приезжать
befehlen приказывать
gehören принадлежать
versuchen пробовать
verkaufen продавать
fortsetzen продолжать
aussprechen произносить
versäumen пропускать
bitten просить
verzeihen прощать
verstecken прятать
arbeiten работать
erlauben разрешать
reservieren резервировать
empfehlen рекомендовать
fallen ронять
schelten ругать
leiten руководить
graben рыть
